DATE,DCOILBRENTEU_NBD20001229
2002-03-15,105.84588
2002-03-18,105.40301
2002-03-19,108.54739
2002-03-20,109.74314
2002-03-21,107.39593
2002-03-22,109.96457
2002-03-25,109.61027
2002-03-26,108.94597
2002-03-27,111.29318
2002-03-28,112.22321
2002-03-29,112.22321
2002-04-01,115.41187
2002-04-02,119.44198
2002-04-03,118.33481
2002-04-04,119.44198
2002-04-05,112.44464
2002-04-08,116.74048
2002-04-09,112.84322
2002-04-10,111.29318
2002-04-11,107.26306
2002-04-12,102.96723
2002-04-15,103.58725
2002-04-16,106.42161
2002-04-17,111.86891
2002-04-18,114.70328
2002-04-19,114.52613
2002-04-22,114.96900
2002-04-23,116.29761
2002-04-24,116.03189
2002-04-25,117.22764
2002-04-26,116.56333
2002-04-29,118.91054
2002-04-30,119.48627
2002-05-01,118.11337
2002-05-02,113.95040
2002-05-03,114.26041
2002-05-06,.
2002-05-07,113.06466
2002-05-08,115.54473
2002-05-09,115.54473
2002-05-10,119.08769
2002-05-13,116.47476
2002-05-14,120.10629
2002-05-15,120.32772
2002-05-16,113.86182
2002-05-17,112.71036
2002-05-20,115.01329
2002-05-21,110.67316
2002-05-22,107.70593
2002-05-23,106.33304
2002-05-24,105.22586
2002-05-27,104.16298
2002-05-28,109.43313
2002-05-29,107.08592
2002-05-30,105.04872
2002-05-31,105.71302
2002-06-03,.
2002-06-04,.
2002-06-05,102.70151
2002-06-06,100.93003
2002-06-07,101.81577
2002-06-10,101.10717
2002-06-11,99.06997
2002-06-12,102.25864
2002-06-13,105.04872
2002-06-14,106.15589
2002-06-17,109.34455
2002-06-18,109.12312
2002-06-19,110.05314
2002-06-20,108.14880
2002-06-21,106.90877
2002-06-24,110.67316
2002-06-25,112.13463
2002-06-26,109.61027
2002-06-27,112.44464
2002-06-28,112.17892
2002-07-01,113.59610
2002-07-02,113.55182
2002-07-03,113.33038
2002-07-04,112.97609
2002-07-05,114.03897
2002-07-08,111.07174
2002-07-09,110.27458
2002-07-10,114.34898
2002-07-11,114.39327
2002-07-12,115.63330
2002-07-15,115.85474
2002-07-16,114.88043
2002-07-17,115.98760
2002-07-18,118.33481
2002-07-19,116.78477
2002-07-22,113.81754
2002-07-23,113.59610
2002-07-24,112.62179
2002-07-25,112.31178
2002-07-26,111.16032
2002-07-29,111.60319
2002-07-30,114.92471
2002-07-31,116.38618
2002-08-01,114.21612
2002-08-02,111.47033
2002-08-05,111.60319
2002-08-06,113.77325
2002-08-07,113.81754
2002-08-08,112.97609
2002-08-09,112.88751
2002-08-12,113.50753
2002-08-13,115.63330
2002-08-14,117.22764
2002-08-15,118.06909
2002-08-16,121.03632
2002-08-19,121.52347
2002-08-20,122.36492
2002-08-21,121.92205
2002-08-22,123.16209
2002-08-23,121.83348
2002-08-26,122.05492
2002-08-27,123.51639
2002-08-28,121.96634
2002-08-29,120.06200
2002-08-30,122.05492
2002-09-02,121.56776
2002-09-03,117.71479
2002-09-04,120.94774
2002-09-05,121.96634
2002-09-06,125.59787
2002-09-09,126.97077
2002-09-10,128.07795
2002-09-11,127.01506
2002-09-12,122.94066
2002-09-13,126.35075
2002-09-16,125.68645
2002-09-17,122.94066
2002-09-18,125.81931
2002-09-19,125.99646
2002-09-20,126.70505
2002-09-23,130.02657
2002-09-24,130.51373
2002-09-25,128.91940
2002-09-26,128.12223
2002-09-27,128.43224
2002-09-30,128.91940
2002-10-01,130.29229
2002-10-02,129.05226
2002-10-03,126.04074
2002-10-04,125.42073
2002-10-07,125.68645
2002-10-08,125.24358
2002-10-09,125.28787
2002-10-10,122.67493
2002-10-11,124.80071
2002-10-14,126.48361
2002-10-15,126.92648
2002-10-16,126.70505
2002-10-17,124.97786
2002-10-18,124.88928
2002-10-21,119.61913
2002-10-22,118.20195
2002-10-23,118.15766
2002-10-24,118.60053
2002-10-25,114.96900
2002-10-28,112.66608
2002-10-29,113.86182
2002-10-30,112.00177
2002-10-31,112.97609
2002-11-01,114.17183
2002-11-04,111.64748
2002-11-05,109.21169
2002-11-06,105.09300
2002-11-07,107.88308
2002-11-08,104.25155
2002-11-11,105.66873
2002-11-12,106.33304
2002-11-13,101.68291
2002-11-14,101.06289
2002-11-15,103.32152
2002-11-18,103.67582
2002-11-19,106.51019
2002-11-20,106.51019
2002-11-21,108.59167
2002-11-22,109.78742
2002-11-25,110.05314
2002-11-26,108.76882
2002-11-27,111.20461
2002-11-28,113.81754
2002-11-29,113.99469
2002-12-02,113.95040
2002-12-03,115.54473
2002-12-04,115.10186
2002-12-05,115.45616
2002-12-06,113.68468
2002-12-09,115.41187
2002-12-10,116.69619
2002-12-11,118.91054
2002-12-12,120.85917
2002-12-13,122.40921
2002-12-16,127.23649
2002-12-17,129.53942
2002-12-18,132.63950
2002-12-19,134.01240
2002-12-20,131.04517
2002-12-23,135.56244
2002-12-24,136.97963
2002-12-25,.
2002-12-26,.
2002-12-27,139.45970
2002-12-30,141.80691
2002-12-31,133.39238
2003-01-01,.
2003-01-02,134.27812
2003-01-03,139.19398
2003-01-06,139.19398
2003-01-07,136.31532
2003-01-08,129.76085
2003-01-09,134.01240
2003-01-10,133.17095
2003-01-13,134.89814
2003-01-14,138.88397
2003-01-15,140.52259
2003-01-16,143.00266
2003-01-17,139.81399
2003-01-20,142.73694
2003-01-21,140.47830
2003-01-22,142.02834
2003-01-23,139.06112
2003-01-24,140.03543
2003-01-27,137.37821
2003-01-28,136.09389
2003-01-29,138.44110
2003-01-30,139.14969
2003-01-31,139.81399
2003-02-03,137.06820
2003-02-04,137.86537
2003-02-05,140.69973
2003-02-06,140.87688
2003-02-07,142.73694
2003-02-10,143.79982
2003-02-11,143.97697
2003-02-12,143.75554
2003-02-13,147.16563
2003-02-14,147.29849
2003-02-17,146.41275
2003-02-18,147.29849
2003-02-19,146.85562
2003-02-20,145.08415
2003-02-21,145.08415
2003-02-24,147.96280
2003-02-25,148.98140
2003-02-26,148.18423
2003-02-27,150.97431
2003-02-28,150.57573
2003-03-03,147.91851
2003-03-04,152.21435
2003-03-05,150.22143
2003-03-06,152.30292
2003-03-07,152.65722
2003-03-10,154.73871
2003-03-11,150.84145
2003-03-12,151.28432
2003-03-13,150.48716
2003-03-14,139.41541
2003-03-17,134.41098
2003-03-18,126.43933
2003-03-19,125.77502
2003-03-20,124.00354
2003-03-21,113.33038
2003-03-24,117.53764
2003-03-25,120.81488
2003-03-26,115.05757
2003-03-27,120.85917
2003-03-28,122.49779
2003-03-31,124.22498
2003-04-01,123.73782
2003-04-02,116.43047
2003-04-03,118.46767
2003-04-04,113.46324
2003-04-07,111.91320
2003-04-08,110.18601
2003-04-09,111.20461
2003-04-10,111.42604
2003-04-11,108.01594
2003-04-14,109.47741
2003-04-15,109.56599
2003-04-16,110.09743
2003-04-17,112.31178
2003-04-18,114.08326
2003-04-21,114.08326
2003-04-22,113.90611
2003-04-23,108.76882
2003-04-24,106.55447
2003-04-25,107.57307
2003-04-28,103.72011
2003-04-29,102.87865
2003-04-30,104.51727
2003-05-01,105.35872
2003-05-02,105.09300
2003-05-05,104.47298
2003-05-06,105.89017
2003-05-07,106.33304
2003-05-08,108.41453
2003-05-09,113.15323
2003-05-12,113.77325
2003-05-13,112.71036
2003-05-14,115.05757
2003-05-15,118.55624
2003-05-16,120.37201
2003-05-19,120.59345
2003-05-20,118.20195
2003-05-21,122.14349
2003-05-22,120.99203
2003-05-23,120.19486
2003-05-26,118.60053
2003-05-27,117.58193
2003-05-28,117.27192
2003-05-29,116.87334
2003-05-30,117.71479
2003-06-02,122.05492
2003-06-03,123.95926
2003-06-04,121.74491
2003-06-05,124.71213
2003-06-06,125.68645
2003-06-09,126.74934
2003-06-10,125.95217
2003-06-11,128.29938
2003-06-12,126.12932
2003-06-13,121.30204
2003-06-16,121.78919
2003-06-17,120.19486
2003-06-18,117.05049
2003-06-19,116.07617
2003-06-20,120.15058
2003-06-23,120.15058
2003-06-24,119.39770
2003-06-25,121.08060
2003-06-26,119.84057
2003-06-27,121.56776
2003-06-30,127.90080
2003-07-01,125.46501
2003-07-02,124.88928
2003-07-03,126.79362
2003-07-04,123.87068
2003-07-07,120.59345
2003-07-08,123.78211
2003-07-09,124.93357
2003-07-10,130.07086
2003-07-11,130.02657
2003-07-14,126.30647
2003-07-15,127.85651
2003-07-16,126.26218
2003-07-17,126.61647
2003-07-18,129.31798
2003-07-21,124.04783
2003-07-22,125.77502
2003-07-23,122.54207
2003-07-24,122.80779
2003-07-25,125.33215
2003-07-28,122.71922
2003-07-29,125.19929
2003-07-30,125.37644
2003-07-31,127.01506
2003-08-01,131.22232
2003-08-04,132.46236
2003-08-05,134.49956
2003-08-06,132.90523
2003-08-07,133.12666
2003-08-08,135.47387
2003-08-11,133.08237
2003-08-12,133.43667
2003-08-13,131.35518
2003-08-14,128.25509
2003-08-15,129.22941
2003-08-18,132.32950
2003-08-19,129.22941
2003-08-20,129.67228
2003-08-21,132.63950
2003-08-22,133.83525
2003-08-25,132.77236
2003-08-26,133.21523
2003-08-27,133.08237
2003-08-28,133.30381
2003-08-29,134.54384
2003-09-01,131.26661
2003-09-02,124.35784
2003-09-03,123.51639
2003-09-04,121.74491
2003-09-05,122.76351
2003-09-08,126.08503
2003-09-09,122.40921
2003-09-10,122.94066
2003-09-11,121.70062
2003-09-12,117.44907
2003-09-15,116.82905
2003-09-16,116.38618
